	movie	rating	release	age_10	age_6	age_3	age_1
5	Four Rooms	6.5	1995-12-09	32.81	35.18333333333334	34.0	34.6
11	Star Wars	8.1	1977-05-25	40.379999999999995	39.949999999999996	27.066666666666663	25.7
12	Finding Nemo	7.6	2003-05-30	44.63	40.85	36.8	55.9
13	Forrest Gump	8.3	1994-07-06	-1	33.449999999999996	35.199999999999996	38.0
14	American Beauty	7.9	1999-09-15	35.550000000000004	31.46666666666667	33.0	40.2
15	Citizen Kane	8.0	1941-04-30	35.89	36.516666666666666	29.900000000000002	26.0
16	Dancer in the Dark	7.7	2000-05-17	-1	48.166666666666664	45.9	34.5
18	The Fifth Element	7.3	1997-05-07	37.42	37.46666666666667	49.03333333333334	42.2
19	Metropolis	8.1	1927-01-10	-1	37.233333333333334	37.96666666666667	47.9
22	Pirates of the Caribbean: The Curse of the Black Pearl	7.5	2003-07-09	36.85000000000001	37.233333333333334	39.53333333333333	40.1
24	Kill Bill: Vol. 1	7.8	2003-10-10	43.29	43.916666666666664	35.86666666666667	33.5
25	Jarhead	6.6	2005-11-04	-1	34.4	28.566666666666663	37.9
28	Apocalypse Now	8.1	1979-08-15	40.89	37.95	47.699999999999996	39.1
33	Unforgiven	7.8	1992-08-07	-1	50.68333333333333	60.0	62.2
35	The Simpsons Movie	6.9	2007-07-25	51.96999999999999	51.083333333333336	52.166666666666664	49.8
38	Eternal Sunshine of the Spotless Mind	7.9	2004-03-19	-1	34.71666666666666	30.866666666666664	42.2
55	Amores perros	7.6	2000-06-16	-1	-1	28.066666666666663	21.6
58	Pirates of the Caribbean: Dead Man's Chest	7.0	2006-06-20	42.68	39.800000000000004	31.266666666666666	43.1
59	A History of Violence	7.0	2005-09-23	-1	47.050000000000004	37.699999999999996	47.0
62	2001: A Space Odyssey	7.9	1968-04-10	-1	42.36666666666667	34.4	31.9
63	Twelve Monkeys	7.4	1995-12-29	-1	40.633333333333326	36.76666666666666	40.8
64	Talk to Her	7.5	2002-03-14	-1	43.78333333333333	33.4	26.6
65	8 Mile	6.8	2002-11-08	28.170000000000005	30.71666666666667	27.666666666666668	30.1
